seq,rtt_ms,inter_arrival_ms,timestamp
456,56.057,57.880,1770976451.665909
457,58.031,60.053,1770976451.725962
458,54.188,56.037,1770976451.781999
459,60.207,62.048,1770976451.844046
460,55.315,58.348,1770976451.902394
461,52.552,54.735,1770976451.957129
462,47.843,49.887,1770976452.007016
463,56.019,57.952,1770976452.064968
464,53.977,55.979,1770976452.120947
465,54.092,55.996,1770976452.176943
466,51.044,53.027,1770976452.229970
467,54.063,55.953,1770976452.285923
468,60.362,62.316,1770976452.348239
469,51.644,54.864,1770976452.403103
470,58.877,60.869,1770976452.463973
471,56.160,57.955,1770976452.521928
472,53.965,55.957,1770976452.577885
473,50.176,52.020,1770976452.629905
474,54.003,56.026,1770976452.685932
475,54.252,56.066,1770976452.741998
476,54.162,56.086,1770976452.798084
477,54.032,55.892,1770976452.853976
478,53.936,55.957,1770976452.909933
479,82.233,84.034,1770976452.993967
480,56.008,58.981,1770976453.052948
481,54.206,55.996,1770976453.108945
482,54.096,55.992,1770976453.164937
483,56.465,58.119,1770976453.223055
484,55.735,57.920,1770976453.280975
485,56.299,58.160,1770976453.339135
486,52.139,53.913,1770976453.393048
487,55.058,56.976,1770976453.450024
488,54.205,56.014,1770976453.506037
489,57.836,59.928,1770976453.565965
490,55.663,57.312,1770976453.623277
491,52.971,54.782,1770976453.678060
492,55.264,56.949,1770976453.735009
493,56.046,57.942,1770976453.792951
494,54.185,56.159,1770976453.849110
495,57.271,60.916,1770976453.910026
496,69.271,71.007,1770976453.981033
497,49.093,52.042,1770976454.033074
498,55.213,56.923,1770976454.089998
499,53.180,54.894,1770976454.144892
500,56.395,58.103,1770976454.202995
501,52.253,53.955,1770976454.256951
502,53.493,55.194,1770976454.312144
503,62.154,63.870,1770976454.376015
504,56.218,59.080,1770976454.435095
505,57.994,59.869,1770976454.494964
506,63.319,65.205,1770976454.560169
507,55.747,58.726,1770976454.618895
508,54.123,56.103,1770976454.674998
509,58.171,59.991,1770976454.734989
510,53.275,55.204,1770976454.790192
511,56.220,59.800,1770976454.849992
512,53.201,55.026,1770976454.905018
513,55.989,57.956,1770976454.962974
514,62.061,64.158,1770976455.027132
515,55.851,58.792,1770976455.085924
516,54.355,56.098,1770976455.142022
517,53.136,54.920,1770976455.196943
518,56.262,58.084,1770976455.255026
519,56.979,58.922,1770976455.313948
520,53.464,55.213,1770976455.369161
521,50.934,52.836,1770976455.421997
522,54.209,56.087,1770976455.478085
523,49.134,51.002,1770976455.529087
524,54.681,56.841,1770976455.585928
525,54.211,56.073,1770976455.642001
526,53.359,55.170,1770976455.697171
527,55.948,57.754,1770976455.754925
528,57.297,59.110,1770976455.814034
529,53.971,55.899,1770976455.869933
530,57.335,59.184,1770976455.929118
531,54.818,56.840,1770976455.985958
532,54.207,56.060,1770976456.042018
533,58.049,59.931,1770976456.101948
534,50.114,52.041,1770976456.153989
535,57.870,59.953,1770976456.213942
536,53.266,55.067,1770976456.269009
537,54.137,56.058,1770976456.325067
538,54.188,56.008,1770976456.381075
539,55.100,56.826,1770976456.437900
540,49.499,51.176,1770976456.489076
541,54.964,56.844,1770976456.545920
542,53.502,55.196,1770976456.601116
543,52.742,54.866,1770976456.655982
544,57.355,59.246,1770976456.715228
545,57.823,59.742,1770976456.774970
546,53.174,55.104,1770976456.830074
547,53.082,54.919,1770976456.884993
548,54.374,56.028,1770976456.941021
549,55.067,56.988,1770976456.998009
550,52.240,56.002,1770976457.054011
551,53.363,55.146,1770976457.109157
552,55.353,57.130,1770976457.166287
553,52.772,54.742,1770976457.221029
554,61.087,62.893,1770976457.283922
555,59.958,63.042,1770976457.346964
556,54.742,58.011,1770976457.404975
557,55.160,57.061,1770976457.462036
558,54.118,56.010,1770976457.518046
559,56.034,57.916,1770976457.575962
560,57.190,59.026,1770976457.634988
561,53.103,55.016,1770976457.690005
562,54.090,56.020,1770976457.746025
563,58.116,59.876,1770976457.805901
564,56.294,58.058,1770976457.863959
565,55.094,57.028,1770976457.920987
566,55.079,56.989,1770976457.977976
567,55.159,57.093,1770976458.035069
568,57.071,58.982,1770976458.094051
569,59.155,60.935,1770976458.154986
570,53.397,55.147,1770976458.210133
571,63.289,65.115,1770976458.275248
572,61.775,64.814,1770976458.340062
573,53.630,56.970,1770976458.397032
574,56.088,57.999,1770976458.455031
575,52.999,54.974,1770976458.510005
576,54.060,55.970,1770976458.565975
577,58.026,60.025,1770976458.626000
578,54.390,56.297,1770976458.682297
579,52.689,54.710,1770976458.737006
580,59.043,60.960,1770976458.797966
581,59.127,61.043,1770976458.859009
582,57.199,59.018,1770976458.918026
583,54.164,56.042,1770976458.974068
584,53.204,55.041,1770976459.029109
585,54.000,55.926,1770976459.085035
